TITLE,COLORS_USED,SUBJECT_MATTER,EPISODE_DATE
Evening At The Falls,"Black_Gesso, Cadmium_Yellow, Liquid_Clear, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White","CONIFER, NIGHT, RIVER, TREE, TREES, WATERFALL",1993-02-23
Twilight Beauty,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CONIFER, DECIDUOUS, FOG, FRAMED, LAKE, OVAL_FRAME, SUN, TREE, TREES",1993-03-02
Angler's Haven,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Black, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, LAKE, MOUNTAIN, MOUNTAINS, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",1993-03-09
Rustic Winter Woods,"Cadmium_Yellow, Indian_Yellow, Midnight_Black, Sap_Green, Titanium_White, Alizarin_Crimson","DECIDUOUS, SNOW, SUN, TREE, TREES, WINTER",1993-03-16
Wilderness Falls,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Black, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CLOUDS, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, RIVER, ROCKS, TREE, TREES, WATERFALL",1993-03-23
Winter At The Farm,"Dark_Sienna, Liquid_Clear, Midnight_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CONIFER, FARM, FENCE, SNOW, STRUCTURE, TREE, TREES, WINTER",1993-03-30
Daisies At Dawn,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Midnight_Black, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, DECIDUOUS, FLOWERS, FRAMED, LAKE, OVAL_FRAME, STRUCTURE, TREE, TREES",1993-04-06
A Spectacular View,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, CUMULUS, MOUNTAIN, MOUNTAINS, PATH, STRUCTURE, TREE, TREES",1993-04-13
Daybreak,"Cadmium_Yellow, Dark_Sienna, Midnight_Black, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CONIFER, DECIDUOUS, FENCE, FOG, SNOW, STRUCTURE, TREE, TREES, WINTER",1993-04-20
Island Paradise,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, FRAMED, HILLS, OCEAN, OVAL_FRAME, PALM_TREES, ROCKS, WAVES",1993-04-27
Sunlight In The Shadows,"Black_Gesso, Liquid_Clear, Midnight_Black, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, GRASS, GUEST, RIVER, SUN, TREE, TREES",1993-05-04
Splendor Of A Snowy Winter,"Dark_Sienna, Liquid_Black, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CONIFER, DECIDUOUS, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",1993-05-11
Forest River,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, RIVER, SUN, TREE, TREES",1993-05-18
Golden Glow Of Morning,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","CONIFER, FOG, LAKE, ROCKS, SUN, TREE, TREES",1993-05-20
Fisherman's Trail,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, PATH, SNOWY_MOUNTAIN, TREE, TREES",1993-05-25
A Warm Winter,"Bright_Red, Cadmium_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","BARN, CONIFER, DECIDUOUS, HILLS, SNOW, STRUCTURE, SUN, TREE, TREES, WINTER",1993-06-01
Under Pastel Skies,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1993-06-08
Golden Rays Of Sunshine,"Black_Gesso, Indian_Yellow, Liquid_Clear, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Alizarin_Crimson","BUSHES, DECIDUOUS, SUN, TREE, TREES",1993-06-15
The Magic Of Fall,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FENCE, GRASS, TREE",1993-06-22
Glacier Lake,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, GRASS, LAKE, MOUNTAIN, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",1993-06-29
The Old Weathered Barn,"Bright_Red, Cadmium_Yellow, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","BARN, DECIDUOUS, GRASS, PATH, TREE, TREES",1993-07-06
Deep Forest Falls,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, RIVER, TREE, TREES, WATERFALL",1993-07-13
Winter's Grace,"Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White","CONIFER, FOG, MOUNTAIN, MOUNTAINS, SNOW, TREE, TREES, WINTER",1993-07-20
Splendor Of Autumn,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FOG, GRASS, LAKE, SUN, TREE, TREES",1993-07-27
Tranquil Seas,"Black_Gesso, Bright_Red, Cadmium_Yellow, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, CUMULUS, OCEAN, SUN, WAVES",1993-08-03
Mountain Serenity,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, TREES",1993-08-10
Home Before Nightfall,"Bright_Red, Cadmium_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Yellow_Ochre, Alizarin_Crimson","CABIN, CLOUDS, DECIDUOUS, GRASS, NIGHT, STRUCTURE, TREE, TREES",1993-08-17
Island In The Wilderness,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, LAKE, TREE, TREES",1993-08-24
Autumn Oval,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, FRAMED, LAKE, MOUNTAINS, OVAL_FRAME, TREE, TREES",1993-08-31
Seasonal Progression,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, FRAMED, GRASS, LAKE, MOUNTAIN, MOUNTAINS, SNOW, SNOWY_MOUNTAIN, SPLIT_FRAME, TREE, TREES, WINTER",1993-09-07
Light At The Summit,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, MOUNTAIN, MOUNTAINS, PATH, SUN, TREE, TREES",1993-09-14
Countryside Barn,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BARN, DECIDUOUS, GRASS, PATH, STRUCTURE, TREE",1993-09-21
Mountain Lake Falls,"Cadmium_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, LAKE, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, TREE, TREES, WATERFALL",1993-09-28
Cypress Creek,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, RIVER, TREE, TREES",1993-10-05
Trapper's Cabin,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CABIN, CONIFER, DECIDUOUS, LAKE, MOUNTAIN, MOUNTAINS, STRUCTURE, TREE, TREES",1993-10-12
Storm On The Horizon,"Bright_Red, Dark_Sienna, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, CLOUDS, GRASS, OCEAN, PALM_TREES, ROCKS, WAVES",1993-10-19
Pot O' Posies,"Black_Gesso, Bright_Red, Midnight_Black, Prussian_Blue, Sap_Green, Alizarin_Crimson","FLOWERS, GUEST",1993-10-26
A Perfect Winter Day,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, CABIN, CLOUDS, CONIFER, MOUNTAIN, SNOW, SNOWY_MOUNTAIN, STRUCTURE, TREE, TREES, WINTER",1993-11-02
Aurora's Dance,"Dark_Sienna, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","AURORA_BOREALIS, CABIN, CONIFER, LAKE, NIGHT, SNOW, TREE, TREES, WINTER",1993-11-09
Woodman's Retreat,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1993-11-16
Babbling Brook,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, GRASS, RIVER, TREE, WATERFALL",1993-11-23
Woodgrain View,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, FRAMED, GRASS, LAKE, MOUNTAIN, SNOWY_MOUNTAIN, TREE, WOOD_FRAMED",1993-11-30
Winter's Peace,"Bright_Red, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, LAKE, STRUCTURE, TREE, TREES",1993-12-07
Wilderness Trail,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, DECIDUOUS, PATH, TREE, TREES",1993-12-14
A Copper Winter,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, DECIDUOUS, LAKE, TREE, TREES",1993-12-21
Misty Foothills,"Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, CUMULUS, HILLS, LAKE, MOUNTAIN, TREE, TREES",1993-12-28
Through The Window,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CONIFER, DECIDUOUS, FRAMED, SNOW, TREE, TREES, WINDOW_FRAME, WINTER",1994-01-04
Home In The Valley,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CLOUDS, CONIFER, CUMULUS, GRASS, LAKE, STRUCTURE, TREE, TREES",1994-01-11
Mountains Of Grace,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CIRRUS, CLOUDS, CONIFER, DECIDUOUS, GUEST, MOUNTAIN, MOUNTAINS, RIVER, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",1994-01-18
Seaside Harmony,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BEACH, CLOUDS, OCEAN, ROCKS, WAVES",1994-01-25
A Cold Spring Day,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, TREE, TREES",1994-02-01
Evening's Glow,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CABIN, CONIFER, DECIDUOUS, GRASS, PATH, SUN, TREE, TREES",1994-02-08
Blue Ridge Falls,"Black_Gesso, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, MOUNTAIN, RIVER, ROCKS, TREE, TREES, WATERFALL",1994-02-15
Reflections Of Calm,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, LAKE, MOUNTAIN, MOUNTAINS, TREE, TREES",1994-02-22
Before The Snowfall,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BUSHES, CABIN, CLOUDS, CONIFER, RIVER, STRUCTURE, TREE, TREES",1994-03-01
Winding Stream,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Black, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, GRASS, RIVER, ROCKS, TREE, TREES",1994-03-08
Tranquility Cove,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, LAKE, ROCKS, TREE, TREES",1994-03-15
Cabin In The Hollow,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","CABIN, CONIFER, FRAMED, OVAL_FRAME, RIVER, SNOW, TREE, TREES, WINTER",1994-03-22
View From Clear Creek,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BUSHES, CONIFER, GRASS, MOUNTAIN, MOUNTAINS, RIVER, TREE, TREES",1994-03-29
Bridge To Autumn,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BRIDGE, DECIDUOUS, LAKE, PATH, STRUCTURE, TREE, TREES",1994-04-05
Trail's End,"Black_Gesso, Dark_Sienna, Liquid_Clear, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, DECIDUOUS, PATH, TREE, TREES",1994-04-12
Evergreen Valley,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Black, Midnight_Black, Phthalo_Blue, Phthalo_Green, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CONIFER, GRASS, MOUNTAIN, MOUNTAINS, ROCKS, SNOWY_MOUNTAIN, TREE, TREES",1994-04-19
Balmy Beach,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Liquid_Clear, Midnight_Black, Phthalo_Blue, Phthalo_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","BEACH, FRAMED, OCEAN, PALM_TREES, ROCKS, SEASHELL_FRAME, WAVES",1994-04-26
Lake At The Ridge,"Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Prussian_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","CLOUDS, CONIFER, DECIDUOUS, GRASS, GUEST, LAKE, MOUNTAIN, MOUNTAINS, SNOWY_MOUNTAIN, STEVE_ROSS, TREE, TREES",1994-05-03
In The Midst Of Winter,"Dark_Sienna, Midnight_Black, Phthalo_Blue, Prussian_Blue, Titanium_White, Van_Dyke_Brown, Alizarin_Crimson","BARN, CONIFER, DECIDUOUS, FOG, PATH, SNOW, STRUCTURE, TREE, TREES, WINTER",1994-05-10
Wilderness Day,"Black_Gesso, Bright_Red, Cadmium_Yellow, Dark_Sienna, Indian_Yellow, Midnight_Black, Phthalo_Blue, Sap_Green, Titanium_White, Van_Dyke_Brown, Yellow_Ochre, Alizarin_Crimson","DECIDUOUS, GRASS, MOUNTAIN, TREE, TREES",1994-05-17
